,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"0,275","0,263","0,287","0,261","46,44M","4,96%"
1,Oct 2020,"0,262","0,298","0,317","0,250","47,09M","-11,84%"
2,Sep 2020,"0,297","0,338","0,420","0,277","52,09M","-12,12%"
3,Ago 2020,"0,338","0,347","0,379","0,285","42,39M","17,02%"
4,Jul 2020,"0,289","0,300","0,364","0,285","65,86M","-6,50%"
5,Jun 2020,"0,309","0,287","0,396","0,276","60,28M","14,23%"
6,May 2020,"0,271","0,373","0,373","0,251","471,14M","-28,43%"
7,Abr 2020,"0,378","0,450","0,476","0,343","51,50M","-17,07%"
8,Mar 2020,"0,456","0,804","0,809","0,395","30,12M","-42,36%"
9,Feb 2020,"0,791","0,823","0,912","0,768","737,86M","-2,83%"
10,Ene 2020,"0,814","1,051","1,080","0,814","605,89M","-21,73%"
11,Dic 2019,"1,040","0,994","1,113","0,983","594,38M","4,84%"
12,Nov 2019,"0,992","0,970","1,054","0,951","593,86M","2,37%"
13,Oct 2019,"0,969","0,885","1,051","0,833","710,91M","10,49%"
14,Sep 2019,"0,877","0,764","0,898","0,732","676,07M","12,58%"
15,Ago 2019,"0,779","0,793","0,806","0,714","646,91M","-1,64%"
16,Jul 2019,"0,792","0,936","0,962","0,786","618,48M","-13,06%"
17,Jun 2019,"0,911","0,985","1,028","0,881","516,92M","-8,26%"
18,May 2019,"0,993","1,034","1,078","0,985","531,82M","-4,15%"
19,Abr 2019,"1,036","0,896","1,044","0,891","756,16M","16,67%"
20,Mar 2019,"0,888","1,010","1,024","0,856","765,85M","-11,38%"
21,Feb 2019,"1,002","1,000","1,006","0,832","713,57M","0,30%"
22,Ene 2019,"0,999","0,983","1,083","0,962","630,16M","-0,10%"
