,Nombre,Último valor,Máx. valor,Min. valor,Variación,% Variación,Volumen,Hora
0,Iberdrola,"11,127","11,152","11,030","+0,152","+1,38%","2,17M",11:47:52
1,Santander,"1,831","1,835","1,790","+0,044","+2,46%","11,11M",11:49:25
2,BBVA,"2,582","2,582","2,514","+0,096","+3,86%","6,59M",11:49:09
3,Telefónica,"2,905","2,905","2,820","+0,111","+3,97%","5,08M",11:49:20
4,Siemens Gamesa,"26,850","27,290","26,485","+1,025","+3,97%","521,27K",11:48:24
5,PharmaMar,"128,300","129,900","127,000","+2,400","+1,91%","93,60K",11:32:49
6,Inditex,"23,625","23,745","23,460","+0,395","+1,70%","456,91K",11:49:20
7,IAG,"1,194","1,198","1,159","+0,047","+4,10%","8,96M",11:48:55
8,Cellnex Telecom,"56,69","57,10","56,40","+0,69","+1,23%","169,10K",11:47:49
9,Repsol,"5,864","5,905","5,803","+0,092","+1,59%","1,63M",11:49:11
10,Amadeus,"48,414","48,695","47,900","+0,954","+2,01%","168,85K",11:48:55
11,Grifols,"25,875","25,965","25,640","+0,395","+1,55%","190,93K",11:49:17
12,Banco Sabadell,"0,274","0,275","0,267","+0,008","+3,01%","17,53M",11:49:09
13,Acciona,"92,450","92,550","90,750","+2,450","+2,72%","51,71K",11:46:29
14,ArcelorMittal,"13,111","13,198","12,866","+0,515","+4,09%","333,78K",11:48:50
15,CaixaBank,"1,639","1,643","1,608","+0,029","+1,80%","2,66M",11:48:50
16,Bankinter,"3,269","3,300","3,193","+0,008","+0,25%","1,15M",11:49:03
17,Solaria,"18,900","19,220","18,720","+0,200","+1,07%","196,00K",11:32:54
18,Ferrovial,"20,155","20,250","20,080","+0,300","+1,51%","183,20K",11:47:45
19,ACS,"23,020","23,135","22,790","+0,700","+3,14%","159,10K",11:48:47
20,Mapfre,"1,385","1,387","1,341","+0,021","+1,54%","2,17M",11:49:17
21,Meliá Hotels,"3,445","3,481","3,354","+0,145","+4,39%","796,15K",11:48:48
22,Endesa,"24,445","24,640","24,310","+0,125","+0,51%","107,65K",11:48:21
23,Enagás,"19,030","19,062","18,765","+0,220","+1,17%","128,19K",11:48:45
24,Naturgy Energy,"17,190","17,218","16,938","-0,075","-0,43%","120,07K",11:49:11
25,Rovi,"36,000","37,500","35,800","-0,800","-2,17%","50,72K",11:27:27
26,Soltec Power,"5,90","5,92","5,56","+0,39","+7,08%","286,15K",11:34:24
27,OHL,"0,678","0,724","0,658","+0,026","+3,99%","2,48M",11:48:12
28,Aena,"125,45","126,45","124,60","+2,25","+1,83%","13,08K",11:46:08
29,Merlin Properties,"6,17","6,20","6,09","+0,12","+1,90%","255,72K",11:48:50
30,Almirall,"10,315","10,335","10,045","+0,405","+4,09%","152,32K",11:46:16
31,Acerinox,"7,457","7,520","7,392","+0,167","+2,29%","193,75K",11:48:57
32,Sacyr,"1,603","1,611","1,568","+0,035","+2,23%","905,37K",11:49:27
33,Cie Automotive,"17,470","17,660","17,090","+0,610","+3,62%","82,21K",11:48:04
34,DIA,"0,131","0,136","0,129","+0,001","+0,77%","10,60M",11:48:36
35,Indra,"5,725","5,750","5,665","+0,165","+2,97%","236,82K",11:49:24
36,Red Eléctrica,"16,058","16,058","15,900","+0,168","+1,06%","73,46K",11:49:24
37,Airbus Group,"72,850","73,490","71,900","+2,900","+4,15%","14,89K",11:33:04
38,Grifols Pref,"15,940","15,980","15,640","+0,180","+1,14%","59,06K",11:25:55
39,Viscofan,"57,725","58,650","57,525","-0,125","-0,22%","16,03K",11:43:05
40,Bankia,"1,114","1,115","1,088","+0,027","+2,48%","829,22K",11:48:49
41,Audax Renovables,"2,1300","2,1400","2,1150","+0,0800","+3,90%","455,51K",11:34:05
42,Catalana Occidente,"21,400","21,700","21,050","+0,300","+1,42%","38,96K",11:04:43
43,Tubos Reunidos,"0,2585","0,2720","0,2520","+0,0145","+5,94%","3,09M",11:32:33
44,Gestamp,"2,71","2,74","2,67","+0,05","+1,81%","294,64K",11:33:41
45,Faes Farma,"3,515","3,560","3,495","+0,035","+1,01%","214,84K",11:34:00
46,Logista,"15,16","15,24","15,02","+0,28","+1,88%","47,79K",11:30:08
47,Colonial,"6,753","6,765","6,612","+0,198","+3,02%","100,11K",11:48:13
48,Fluidra,"17,240","17,480","17,100","+0,240","+1,41%","38,56K",11:30:10
49,Técnicas Reunidas,"6,975","6,985","6,825","+0,200","+2,95%","84,20K",11:45:29
